Time,wfv_1,wfv_2,wfv_3
5/31/22 22:15,25.98654589,22.13432153,21.86483736
5/31/22 22:30,25.98654589,22.13432153,21.86483736
5/31/22 22:45,25.98925301,22.13432153,21.86483736
5/31/22 23:00,25.98925301,21.86035538,21.86334342
5/31/22 23:15,26.04471231,21.86035538,21.86334342
5/31/22 23:30,26.04471231,21.86035538,21.86334342
5/31/22 23:45,26.04471231,21.93648039,21.86334342
6/1/22 0:00,26.04471231,21.93498914,21.94244483
6/1/22 0:15,26.04471231,22.09572277,21.9409538
6/1/22 0:30,25.94456409,21.93498914,21.9409538
6/1/22 0:45,26.09875157,22.09423746,21.9409538
6/1/22 1:00,25.94456409,22.1654703,21.65814088
6/1/22 1:15,26.00143301,21.93200648,21.65814088
6/1/22 1:30,25.84690252,21.73615307,21.74064909
6/1/22 1:45,25.84690252,21.8947043,21.73915047
6/1/22 2:00,26.00143301,21.8947043,21.73915047
6/1/22 2:15,25.74493934,21.89321148,21.7376518
6/1/22 2:30,25.99872663,21.89171861,21.7376518
6/1/22 2:45,25.80070869,21.96778374,21.73615307
6/1/22 3:00,25.80070869,21.96629366,21.8155078
6/1/22 3:15,25.80070869,21.96629366,21.81401201
6/1/22 3:30,25.64410167,21.96480352,21.53330166
6/1/22 3:45,25.79934931,21.96480352,21.53179517
6/1/22 4:00,25.85504931,21.6911648,21.53179517
6/1/22 4:15,25.85504931,21.7676145,21.53028861
6/1/22 4:30,25.85369162,21.7676145,21.528782
6/1/22 4:45,25.59769247,21.7661169,21.528782
6/1/22 5:00,25.59769247,21.76312154,21.60855325
6/1/22 5:15,25.59496097,21.76312154,21.60855325
6/1/22 5:30,25.59496097,21.76162377,21.60704962
6/1/22 5:45,25.65365036,21.76012595,21.60704962
6/1/22 6:00,25.65228639,21.83644297,21.60554594
6/1/22 6:15,25.65228639,21.83494797,21.56944033
6/1/22 6:30,25.65228639,21.83494797,21.56944033
6/1/22 6:45,25.64955832,21.83345291,21.56793521
6/1/22 7:00,25.64955832,21.56040877,21.31879983
6/1/22 7:15,25.70681197,21.83195779,21.60103454
6/1/22 7:30,25.44994544,21.5589033,21.56643004
6/1/22 7:45,25.44994544,21.6371113,21.64462315
6/1/22 8:00,25.44994544,21.63560876,21.64312089
6/1/22 8:15,25.44720464,21.63560876,21.56341952
6/1/22 8:30,25.44720464,21.63260351,21.56341952
6/1/22 8:45,25.44720464,21.63260351,21.64161858
6/1/22 9:00,25.5047252,21.63260351,21.64161858
6/1/22 9:15,25.5047252,21.63110079,21.64161858
6/1/22 9:30,25.5047252,21.63110079,21.36118872
6/1/22 9:45,25.5047252,21.63110079,21.35967562
6/1/22 10:00,25.24527877,21.63110079,21.44280976
6/1/22 10:15,25.30444317,21.63110079,21.44431967
6/1/22 10:30,25.65774202,21.70766643,21.44431967
6/1/22 10:45,25.55943591,21.70766643,21.44431967
6/1/22 11:00,25.46227692,21.70766643,21.44431967
6/1/22 11:15,25.30581813,21.43676957,21.44431967
6/1/22 11:30,25.46227692,21.59953063,21.16247342
6/1/22 11:45,25.30581813,21.4382797,21.44582951
6/1/22 12:00,25.46364687,21.43978978,21.4473393
6/1/22 12:15,25.46364687,21.43978978,21.16399416
6/1/22 12:30,25.46501678,21.4412998,21.44884903
6/1/22 12:45,25.46501678,21.4412998,21.25057867
6/1/22 13:00,25.5252498,21.6040422,21.25209598
6/1/22 13:15,25.5252498,21.60554594,21.45337787
6/1/22 13:30,25.27143118,21.44582951,21.25361324
6/1/22 13:45,25.27280718,21.60704962,21.25664758
6/1/22 14:00,25.27555906,21.60855325,21.25816467
6/1/22 14:15,25.27555906,21.61005682,21.17463768
6/1/22 14:30,25.27693493,21.61156033,21.17615795
6/1/22 14:45,25.27831076,21.61456719,21.17767816
6/1/22 15:00,25.28106228,21.61607053,21.1791983
6/1/22 15:15,25.28243798,21.61757381,21.18375839
6/1/22 15:30,25.28518924,21.61907704,21.43374912
6/1/22 15:45,25.28518924,21.62358638,21.43525937
6/1/22 16:00,25.28656481,21.62508937,21.43676957
